datetime,value
2018-12-07 07:00:00+01:00,26409.820415275946
2018-12-07 08:00:00+01:00,28362.241987310605
2018-12-07 09:00:00+01:00,30418.62674610501
2018-12-07 10:00:00+01:00,31303.94602027743
2018-12-07 11:00:00+01:00,31103.03315318639
2018-12-07 12:00:00+01:00,30679.5362982006
2018-12-07 13:00:00+01:00,30882.027588991084
2018-12-07 14:00:00+01:00,30166.160715652986
2018-12-07 15:00:00+01:00,29372.235359707844
2018-12-07 16:00:00+01:00,28807.729281117852
2018-12-07 17:00:00+01:00,29159.443412997018
2018-12-07 18:00:00+01:00,31196.65060126524
2018-12-07 19:00:00+01:00,31803.824771303527
2018-12-07 20:00:00+01:00,32006.845347256054
2018-12-07 21:00:00+01:00,31534.521223627427
2018-12-07 22:00:00+01:00,29856.632911152843
2018-12-07 23:00:00+01:00,27798.95609050545
2018-12-08 00:00:00+01:00,25990.54450150935
2018-12-08 01:00:00+01:00,24177.97457036625
2018-12-08 02:00:00+01:00,22815.900502873475
2018-12-08 03:00:00+01:00,21820.445549730463
2018-12-08 04:00:00+01:00,21715.408886767986
2018-12-08 05:00:00+01:00,21734.652671576077
2018-12-08 06:00:00+01:00,22247.496008842747
2018-12-08 07:00:00+01:00,23286.999662955666
2018-12-08 08:00:00+01:00,24358.92326417038
2018-12-08 09:00:00+01:00,26297.326996766893
2018-12-08 10:00:00+01:00,28108.684014706952
2018-12-08 11:00:00+01:00,28423.000729325035
2018-12-08 12:00:00+01:00,28032.288956908982
2018-12-08 13:00:00+01:00,28120.225191815127
2018-12-08 14:00:00+01:00,27936.213813039827
2018-12-08 15:00:00+01:00,26807.65996489381
2018-12-08 16:00:00+01:00,25882.853217551623
2018-12-08 17:00:00+01:00,26043.973123546337
2018-12-08 18:00:00+01:00,28347.814717586203
2018-12-08 19:00:00+01:00,29160.360758979714
2018-12-08 20:00:00+01:00,29848.460876315672
2018-12-08 21:00:00+01:00,29888.22690725712
2018-12-08 22:00:00+01:00,28979.47323644795
2018-12-08 23:00:00+01:00,27104.42739418357
2018-12-09 00:00:00+01:00,25157.3696535645
